angkatan,periode_masuk,tanggal_masuk,program_studi,jalur_masuk,jalur_masuk_raw,beasiswa_kerjasama,asal_3t,jatah_sks,ips,sks_kumulatif,ipk,sub_angkatan,kurikulum,jenis_kelamin,agama,sekolah_asal,kabupaten_sekolah,propinsi_sekolah,kabupaten_ktp,propinsi_ktp,pekerjaan_wali,semester_akhir,status_akhir,source_year
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,0.89,170,3.33,Reguler,S1 TEKNOLOGI INFORMASI 2021,P,Islam,,,,Kota Surabaya,Jawa Timur,KARYAWAN SWASTA,,LULUS,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,3.6,167,3.4,Reguler,S1 TEKNOLOGI INFORMASI 2021,P,Islam,,,,Kab. Sleman,DI Yogyakarta,PEGAWAI NEGERI,,LULUS,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,0,150,3.29,Reguler,S1 TEKNOLOGI INFORMASI 2021,P,Islam,,,,Kab. Sleman,DI Yogyakarta,DOSEN,,AKTIF,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,4,167,3.58,Reguler,S1 TEKNOLOGI INFORMASI 2021,P,Islam,,,,Kab. Kulonprogo,DI Yogyakarta,PEDAGANG,,LULUS,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,3.83,152,3.71,Reguler,S1 TEKNOLOGI INFORMASI 2021,L,Islam,,,,Kab. Magelang,Jawa Tengah,Karyawan Swasta,,LULUS,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,4,171,3.53,Reguler,S1 TEKNOLOGI INFORMASI 2021,P,Islam,,,,Kab. Magelang,Jawa Tengah,PETANI/NELAYAN,,LULUS,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,4,150,3.9,Reguler,S1 TEKNOLOGI INFORMASI 2021,L,Islam,,,,Kota Bontang,Kalimantan Timur,Pensiunan Karyawan BUMN,,LULUS,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,0,159,3.45,Reguler,S1 TEKNOLOGI INFORMASI 2021,P,Islam,,,,Kota Surakarta,Jawa Tengah,LAIN-LAIN,,AKTIF,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,0.83,164,3.28,Reguler,S1 TEKNOLOGI INFORMASI 2021,L,Islam,,,,Kab. Sleman,DI Yogyakarta,DOSEN,,LULUS,2020
2020,GASAL 2020,,S1 TEKNOLOGI INFORMASI,SNBP,SNMPTN,,,,0.89,169,3.46,Reguler,S1 TEKNOLOGI INFORMASI 2021,L,Islam,,,,Kota Yogyakarta,DI Yogyakarta,WIRASWASTA,,LULUS,2020
